id_cliente,nome,idade,genero,endereco,numero_contato,data_cadastro,tipo_cliente
P001,John Doe,45,M,123 Elm St,555-1234,2024-01-01,D001
P002,Jane Smith,34,F,456 Oak St,555-5678,2024-01-02,D002
P003,Alice Johnson,29,F,789 Pine St,555-8765,2024-01-03,D003
P004,Bob Brown,54,M,101 Maple St,555-4321,2024-01-04,D004
P005,Eve Davis,61,F,202 Cedar St,555-6789,2024-01-05,D005
P006,Charlie Wilson,40,M,303 Birch St,555-2345,2024-01-06,D006
P007,Diana Martinez,48,F,404 Cedar St,555-3456,2024-01-07,D007
P008,Edward Clark,52,M,505 Elm St,555-4567,2024-01-08,D008
P009,Grace Lewis,37,F,606 Oak St,555-5678,2024-01-09,D009
P010,Harry Walker,33,M,707 Pine St,555-6789,2024-01-10,D010
P011,Ivy Hall,41,F,808 Maple St,555-7890,2024-01-11,D003
P012,James Allen,46,M,909 Birch St,555-8901,2024-01-12,D007
P013,Karen Young,28,F,1010 Cedar St,555-9012,2024-01-13,D002
P014,Liam King,39,M,1111 Elm St,555-0123,2024-01-14,D009
P015,Mia Scott,50,F,1212 Oak St,555-1234,2024-01-15,D001
P016,Noah Adams,43,M,1313 Pine St,555-2345,2024-01-16,D010
P017,Olivia Baker,31,F,1414 Maple St,555-3456,2024-01-17,D008
P018,Paul Gonzalez,55,M,1515 Birch St,555-4567,2024-01-18,D004
P019,Quinn Carter,49,F,1616 Cedar St,555-5678,2024-01-19,D006
P020,Rachel Phillips,30,F,1717 Elm St,555-6789,2024-01-20,D005
P021,Steve Evans,44,M,1818 Oak St,555-7890,2024-01-21,D007
P022,Tracy Nelson,32,F,1919 Pine St,555-8901,2024-01-22,D002
P023,Uma Brooks,47,F,2020 Maple St,555-9012,2024-01-23,D009
P024,Victor Morris,38,M,2121 Birch St,555-0123,2024-01-24,D010
P025,Wendy Cooper,51,F,2222 Cedar St,555-1234,2024-01-25,D001
P026,Xander Lee,29,M,2323 Elm St,555-2345,2024-01-26,D003
P027,Yara Bell,40,F,2424 Oak St,555-3456,2024-01-27,D006
P028,Zachary Harris,56,M,2525 Pine St,555-4567,2024-01-28,D008
P029,Amelia Gray,34,F,2626 Maple St,555-5678,2024-01-29,D004
P030,Benjamin Wright,42,M,2727 Birch St,555-6789,2024-01-30,D007
P031,Catherine James,46,F,2828 Cedar St,555-7890,2024-01-31,D005
P032,David Walker,50,M,2929 Elm St,555-8901,2024-02-01,D009
P033,Emily King,31,F,3030 Oak St,555-9012,2024-02-02,D010
P034,Frank Hall,47,M,3131 Pine St,555-0123,2024-02-03,D002
P035,Grace Adams,53,F,3232 Maple St,555-1234,2024-02-04,D003
P036,Henry Scott,38,M,3333 Birch St,555-2345,2024-02-05,D001
P037,Isabella Lewis,39,F,3434 Cedar St,555-3456,2024-02-06,D007
P038,Jack Young,45,M,3535 Elm St,555-4567,2024-02-07,D006
P039,Kimberly Brown,48,F,3636 Oak St,555-5678,2024-02-08,D010
P040,Lucas Miller,29,M,3737 Pine St,555-6789,2024-02-09,D004
P041,Maria Davis,36,F,3838 Maple St,555-7890,2024-02-10,D008
P042,Nathan Robinson,50,M,3939 Birch St,555-8901,2024-02-11,D005
P043,Olivia Carter,52,F,4040 Cedar St,555-9012,2024-02-12,D009
P044,Patrick Wilson,37,M,4141 Elm St,555-0123,2024-02-13,D001
P045,Quinn Evans,55,F,4242 Oak St,555-1234,2024-02-14,D010
P046,Rachel Harris,41,F,4343 Pine St,555-2345,2024-02-15,D007
P047,Samuel Clark,39,M,4444 Maple St,555-3456,2024-02-16,D002
P048,Tiffany Johnson,34,F,4545 Birch St,555-4567,2024-02-17,D003
